	2	p	6500	1.2	2076	2.5	0.900	0.900	0.550	0	0	185	10	10	-1	0	-0.310	-275.4	0.900	0.900	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.8m)	1	p	6500	1.2	2076	2.5	0.800	0.800	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.800	0.800	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.800	0.800	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.800	0.800	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.7m)	1	p	6500	1.2	2076	2.5	0.700	0.700	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.700	0.700	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.700	0.700	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.700	0.700	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.65m)	1	p	6500	1.2	2076	2.5	0.650	0.650	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.650	0.650	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.650	0.650	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.650	0.650	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.6m)	1	p	6500	1.2	2076	2.5	0.600	0.600	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.600	0.600	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.600	0.600	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.600	0.600	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.55m)	1	p	6500	1.2	2076	2.5	0.550	0.550	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.550	0.550	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.550	0.550	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.550	0.550	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.5m)	1	p	6500	1.2	2076	2.5	0.500	0.500	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.500	0.500	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.500	0.500	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.500	0.500	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.45m)	1	p	6500	1.2	2076	2.5	0.450	0.450	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.450	0.450	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.450	0.450	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.450	0.450	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Squeeze (0.4m)	1	p	6500	1.2	2076	2.5	0.400	0.400	-0.550	0	0	-185	10	10	1	-2	0.310	275.4	0.400	0.400	0	0.550	185	0	3	3	0	-1	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.400	0.400	0.550	0	0	185	10	10	-1	-2	-0.310	-275.4	0.400	0.400	0	-0.550	-185	0	3	3	0	1	395.4	1.95	64.31	59.32	3.0	3.0
Collision (0.4m)	1	p	6500	1.2	2076	2.5	0.400	0.400	0	0	0	-185	10	10	0	-2	0.310	275.4	0.400	0.400	0	0	185	0	3	3	0	0	-395.4	-1.95	64.31	59.32	3.0	3.0
	2	p	6500	1.2	2076	2.5	0.400	0.400	0	0	0	185	10	10	0	-2	-0.310	-275.4	0.400	0.400	0	0	-185	0	3	3	0	0	395.4	1.95	64.31	59.32	3.0	3.0
