Injection	1	p	450	1.2	2556	2.5	11	11	-2	0	0	170	10	10	3.5	0	-44.54	-918.9	11	11	0	2	170	0	10	10	0	-3.5	-2270	-68.15	62.27	60.295	15.0	15.0
	2	p	450	1.2	2556	2.5	11	11	2	0	0	-170	10	10	-3.5	0	-35.46	918.9	11	11	0	-2	-170	0	10	10	0	3.5	2270	-11.85	62.27	60.295	15.0	15.0
Ramp Squeeze (11.0 m)	1	p	1693	1.2	2556	2.5	11	11	-1.56	0	0	164	10	10	3.5	0	-41.21	-110.4	11	11	0	1.56	164	0	10	10	0	-3.5	-752.3	-47.48	62.27	60.295	15.0	15.0
	2	p	1693	1.2	2556	2.5	11	11	1.56	0	0	-164	10	10	-3.5	0	-38.79	110.4	11	11	0	-1.56	-164	0	10	10	0	3.5	752.3	-32.52	62.27	60.295	15.0	15.0
Ramp Squeeze (9.7 m)	1	p	2197	1.2	2556	2.5	9.7	9.7	-1.46	0	0	162.5	10	10	3.28	0	-36.81	-41.82	9.7	9.7	0	1.46	162.5	0	9.7	9.7	0	-3.24	-630	-41.65	62.27	60.295	15.0	15.0
	2	p	2197	1.2	2556	2.5	9.7	9.7	1.46	0	0	-162.5	10	10	-3.28	0	-34.95	41.82	9.7	9.7	0	-1.46	-162.5	0	9.7	9.7	0	3.24	630	-30.12	62.27	60.295	15.0	15.0
Ramp Squeeze (9.2 m)	1	p	2423	1.2	2556	2.5	9.2	9.2	-1.41	0	0	161.9	10	10	3.19	0	-34.88	-20.05	9.2	9.2	0	1.41	161.9	0	9.2	9.2	0	-3.13	-592.4	-39.26	62.27	60.295	15.0	15.0
	2	p	2423	1.2	2556	2.5	9.2	9.2	1.41	0	0	-161.9	10	10	-3.19	0	-33.19	20.05	9.2	9.2	0	-1.41	-161.9	0	9.2	9.2	0	3.13	592.4	-28.81	62.27	60.295	15.0	15.0
Ramp Squeeze (8.5 m)	1	p	2684	1.2	2556	2.5	8.5	8.5	-1.36	0	0	161.1	10	10	3.08	0	-32.67	0.730	8.5	8.5	0	1.36	161.1	0	8.5	8.5	0	-2.99	-557.5	-36.63	62.27	60.295	15.0	15.0
	2	p	2684	1.2	2556	2.5	8.5	8.5	1.36	0	0	-161.1	10	10	-3.08	0	-31.14	-0.730	8.5	8.5	0	-1.36	-161.1	0	8.5	8.5	0	2.99	557.5	-27.19	62.27	60.295	15.0	15.0
